기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국사회적기업진흥원,기타공공기관,고용노동부,125,11,59117,167005,경기도,0.088,2.8249911193057837
한국산림복지진흥원,준정부기관(위탁집행형),산림청,463,40,57504,182270,대전광역시,0.0863930885529157,3.1696925431274345
한국산업기술기획평가원,준정부기관(위탁집행형),산업통상부,403.5,8,91637,193057,대구광역시,0.0198265179677819,2.1067581871951284
한국산업기술시험원,기타공공기관,산업통상부,906,9,95985,225395,경상남도,0.009933774834437,2.3482314945043496
한국산업기술진흥원,준정부기관(위탁집행형),산업통상부,427,19,77931,209908,서울특별시,0.0444964871194379,2.693510926332268
한국산업단지공단,준정부기관(위탁집행형),산업통상부,628,18,75368,144440,대구광역시,0.0286624203821656,1.9164632204649188
한국산업안전보건공단,준정부기관(위탁집행형),고용노동부,2229.63,83,69202,174368,울산광역시,0.0372259074375569,2.5196959625444357
한국산업은행,기타공공기관,금융위원회,3423,224,114659,321917,서울특별시,0.065439672801636,2.8076034153446305
한국산업인력공단,준정부기관(위탁집행형),고용노동부,1881.7,78,65422,166083,울산광역시,0.0414518786203964,2.5386414356027025
한국상하수도협회,기타공공기관,기후에너지환경부,76,4,69715,178095,서울특별시,0.0526315789473684,2.5546152191063616
한국생명존중희망재단,기타공공기관,보건복지부,175,10,51098,126530,서울특별시,0.0571428571428571,2.4762221613370388
한국서부발전(주),공기업(시장형),기후에너지환경부,2843,95,91243,142963,충청남도,0.0334154062609919,1.5668380040112666
한국석유공사,공기업(시장형),산업통상부,1449,46,95085,155961,울산광역시,0.0317460317460317,1.6402271651680076
한국석유관리원,준정부기관(위탁집행형),산업통상부,449,18,68151,187623,경기도,0.0400890868596882,2.753048377866796
한국세라믹기술원,기타공공기관,산업통상부,236,7,99443,223117,경상남도,0.0296610169491525,2.243667226451334
한국소방산업기술원,기타공공기관,소방청,322,17,63256,115054,경기도,0.0527950310559006,1.818863032755786
한국소비자원,준정부기관(위탁집행형),공정거래위원회,543,45,64296,172103,충청북도,0.0828729281767955,2.6767295010576087
한국수력원자력(주),공기업(시장형),기후에너지환경부,12794,432,101770,168520,경상북도,0.0337658277317492,1.6558907340080573
한국수목원정원관리원,준정부기관(위탁집행형),산림청,453,28,59193,180493,세종특별자치시,0.0618101545253863,3.04922879394523
한국수산자원공단,기타공공기관,해양수산부,347,7,68772,167891,부산광역시,0.0201729106628242,2.441269702786017
한국수자원공사,공기업(준시장형),기후에너지환경부,6377,254,83533,157482,대전광역시,0.0398306413674141,1.885266900506387
한국수자원조사기술원,기타공공기관,기후에너지환경부,170,8,69074,218663,경기도,0.0470588235294117,3.1656339577844053
한국수출입은행,기타공공기관,재정경제부,1322.54,92,112924,324721,서울특별시,0.0695631134029972,2.8755711806170523
한국승강기안전공단,준정부기관(위탁집행형),행정안전부,1668,86,57896,174367,경상남도,0.0515587529976019,3.0117279259361616
